BMX	PLAGL2	CXCL14	TSPAN8	NPPC	COL9A2	TCF21	NGFR	MYOM1	SPP1	MT1H	ARMCX6	DNAH11	CLDN5
GDF7	DNAJC27	CPLX1	TDRD10	TECTA	TLCD1	VAT1L	DNAJC12	SCN5A	NCKAP1L	BLVRB	TOP1MT	SLC25A51	NETO2
HLF	MATR3	KANK4	SLC25A29	NRG3	BCL9	VGLL3	COX4I2	LAMA2	HCST	SLC22A4	PATZ1	CDK18	CDYL2
TM4SF1	PPP1R13L	SLC7A4	MOB3B	EVA1C	ADRB1	MXRA5	THBS4	TRIM54	P2RY13	SLC2A1	CLP1	MPC1	ITPKB
UNC5D	PPP1R3D	CALB2	OAS3	ALOX5	TMEM132C	GPR158	CNTNAP2	GJA3	HAVCR2	TESC	MADD	DNAJC11	MYO10
SPIN4	SETD1A	ZBTB7C	NEGR1	DHH	IGLON5	FNDC1	NNMT	ACTC1	CSF2RA	NT5DC4	TOMM34	SCNN1D	LCN1
ACKR4	MAPK8IP3	CXCL6	IGFBP5	MMRN2	APOL6	PTX3	NDST4	NPPB	TNFAIP8L2	CR1	UBE2D4	GAMT	APOLD1
CLEC14A	SMIM10L2B	CNTNAP4	FMOD	SEMA3F	KAZALD1	GLT8D2	CSPG4	ASB2	SLCO2B1	TFR2	ZNF688	BOLA3	STEAP1B
GNA14	MTCL1	FXYD7	ITGA9	MFSD6	NRCAM	ZSCAN10	ABCC9	CORIN	CORO1A	GPR146	CCDC97	TMEM65	ARHGAP18
PROCR	LIN54	DPP4	SORCS1	ITGA10	SERF1A	LTBP2	IFITM1	SRL	ARHGAP30	ICAM4	ZFAND2A	PDIK1L	CAV1
GIMAP1	RYK	OPRK1	RECQL4	SGSM1	PURG	LRRN3	PDE1A	LRRC39	MSR1	TSPAN32	MCAT	ST3GAL3	PPP1R16B
CDH11	PIK3R3	KIRREL2	TNFAIP8L3	SLC26A10	SULT1A2	LPAR4	SYTL2	CADPS	PLEK	PIM2	SHPK	PPP1R3F	TMC7
GIMAP2	SGSM2	BNC2	NCKAP5	RHBDL2	DEPDC7	PRKG2	CHST8	RYR2	NCF4	SNCA	HSF2	SYTL1	PGF
FZD6	INTS6L	NECAB1	OLFML2A	PLAU	LRP11	TBX22	EVA1A	ACTN2	CXCL8	HMBS	RWDD2B	MBOAT2	PTPRR
GIMAP8	POLR3A	DNAJC22	PRKCH	IRX6	GDPGP1	TSLP	NBPF19	RBFOX1	MPEG1	MPP1	ZNF526	GOT2	TBXA2R
F8	NCR3LG1	PLLP	CELF4	GRAMD1C	KCNT2	EGFR	RASL12	WNK2	FCGR2A	ERMAP	NIPAL2	PET117	C1orf61
TTC9	MOCS1	CA9	CAAP1	RALYL	ERBB3	DCC	BGN	B4GALNT3	IRF8	RGS6	TMEM99	ALDOC	QRFPR
ADAM22	TBC1D32	HAS1	NRGN	PLVAP	PER2	PCDH18	PDGFRB	DUSP26	EVI2B	TMEM158	TBL3	PUS1	SOX13
SLC9C2	LGI4	GRM2	XKR4	BMPR1B	ABCA9	MRGPRF	KIF11	IRX2	CD84	MFSD2B	ATG13	UBIAD1	CSF2RB
EPHA4	MLLT6	PCP4	PLCD4	SCGB3A1	LTB4R	PEG10	LHX2	CLDN6	FGD2	ST8SIA1	SPSB2	TOP2B	PLCB1
ENG	GRAMD4	TLL1	HAPLN1	NMUR1	STK11IP	ACTG2	APOD	FBXO40	CYTH4	XK	PARP16	CFAP221	ROBO4
LIMS3	COG8	FAM110C	ITGA6	CD9	RASA4	GPC6	CDX1	ITGB1BP2	CD68	RAP1GAP	TAF6L	PCBD1	KITLG
PRCP	SAMD1	KRT17	DLL1	SLC46A3	SP110	ARSI	SEMA5B	GPAT3	CD14	CRYM	KLF13	CISD1	DLL4
SAT1	IFT140	ASPHD1	CCDC80	RASSF10	AMBRA1	NKD2	CDC7	SGCA	LAT2	ASCL2	PPAN	WWOX	CD109
ADGRG6	SIPA1L3	KLK8	RHOU	CASP10	RDH5	APELA	NRIP2	CKMT2	DOK2	KCNN4	RIC1	KDM6A	DGKE
BEX5	SIRT4	CARNS1	NIFK	NR2F1	NYAP1	ITGA4	FILIP1L	ATP1A3	LRRC25	STRADB	NUDT6	TIMM8A	KBTBD11
KLHL4	FAM102A	SLITRK2	C1orf115	KLF8	PRR16	LPAR1	SEMA5A	TNNT2	LILRB4	SLC6A9	LRRC37B	LMTK2	IL32
ALDH1A3	DEPDC5	LEMD1	TSN	SRGN	DZANK1	PNMA2	CD248	KIF1A	AIF1	CDKN1A	ABHD13	JMJD6	JAM2
COLEC12	PPP1R1B	GAL3ST3	RALGAPA2	TNFRSF10A	FAM110A	UNC80	HGF	ADPRHL1	SYK	CA8	AK9	LRRC61	CETP
ASB9	INTU	PVALB	ETV2	CAMK1	ZNF114	CHRD	FUT2	LAD1	DOCK2	GALNT14	HAUS8	C8orf88	TCF15
BMPER	INTS2	MME	LAYN	IFI44L	FGFR2	OTUD7A	LNP1	SHD	DOCK8	RFESD	SLF1	GYG2	PIK3R6
MTUS1	TATDN2	TMEM190	PSAT1	S100P	CCDC7	NKAIN3	IFIT1	FRMD5	C2	ANKRD9	DVL3	UQCRH	ARL4C
VMO1	NOMO3	RARRES2	PROX1	CHSY1	PCSK4	GDF6	CAMK2N1	NKX2-5	GPR183	PLEK2	DYRK1B	HSF1	CCDC148
HSD11B2	HDAC4	PTGS1	SHISA2	CRABP2	FAM161B	ANO4	HEY1	KLHL41	C1orf162	SERPINI1	IMMP2L	ZC3H12A	KIF17
HAPLN3	EGR3	TCEAL2	AKR1C1	GDPD1	TNFSF4	PEG3	SYNPO2	KCNJ4	CD37	OSBP2	SDHAF3	ABHD11	UBTD1
ZNF77	FGF2	LAMA3	SOX7	MLKL	FRRS1L	HSPB6	PANX1	FPGT-TNNI3K	CXCL16	SELENBP1	ARMC5	CDCA7L	WSCD1
