BMX	PLAGL2	CXCL14	TSPAN8	NPPC	COL9A2	TCF21	NGFR	MYOM1	SPP1	MT1H	ARMCX6	DNAH11	CLDN5
DNHD1	MRPL41	MSH6	ERAP2	ZRSR2	LNP1	USP13	GTF3C2	ARHGEF2	RTN4R	GPSM1	ACAD10	ETV3	TET1
DNA2	NXT1	TMA7	CADPS2	WTAP	PANK4	HNRNPF	COA6	PIGBOS1	CRISPLD1	OAS2	SCT	NR2C2	NUDT21
AP1S3	SERPINB1	C19orf57	CECR2	RCOR2	SYNDIG1	COA5	PGP	POLM	NCBP2	LRRC37A2	CCDC144A	MFSD12	UQCC2
PAPPA	HIGD1A	MRPL24	CAPN10	DHX34	KCTD11	MEGF9	LMO2	RPS15	DZANK1	CELSR2	TMEM164	CAMSAP1	PGK1
LIN28B	SLC18B1	ZSCAN31	SLC25A40	SFRP4	NUDT19	JAGN1	EPHB4	FAHD2B	MARS2	PLA2G5	ETV2	DUSP2	MYNN
SLC22A15	SAMD9L	C15orf40	FIGNL1	SLC30A9	TBCCD1	RBM48	KAZN	GAS2L1	RUFY2	ACAA1	FAM83A	ABCB10	SERP1
PBX4	ATP6V1F	BRMS1	LRRN4	PHF1	RIC1	IL4R	MRPL55	ARL6IP6	MPHOSPH10	GHRL	KIF3C	ZNF436	MTIF3
SOWAHC	HIP1R	CLSTN1	FGD4	NOL8	CCR10	MZT2A	TMEM179B	ARHGAP22	ZNF527	UAP1L1	ANKRD52	ZNF121	PSMC4
ITGB3	TBCB	SMG7	CXorf40A	MTIF3	ZER1	ARPP19	TPRKB	DNAJC30	CREM	SLC16A8	USHBP1	CLGN	TMEM43
FEV	RPL29	SAMD4A	ALDH5A1	STMN1	SLC25A22	TBCA	MRPL13	UPF2	ABCA3	RARG	HECTD2	ZNF567	PSTPIP2
ZNF718	PLIN2	SWAP70	SUV39H2	NTAN1	CBX7	DCK	DEXI	TMEM167B	LSM3	PRRC2C	ZMAT1	UCK1	PEX3
NPTX2	AKR1C2	SEC31B	ASCL2	POLR3D	NFIL3	ZFAND5	EMSY	NOLC1	ZNF766	RPS6KA6	RAB40C	MOSPD2	SMIM14
AGAP6	SPHK1	KLHL23	TMEM200B	PCM1	ZNF200	CCSER2	PIGM	SCARF1	ARL16	SNX7	ALMS1	FAM120B	ERI3
ABHD16A	MRPL52	SUPT20H	PCDHB14	POLR2B	ALOX5	PTGES2	PANK3	SLC38A9	TCEAL2	GDF10	DUSP15	PDZD2	SERINC1
FMO5	TMEM70	SLC45A1	HYAL1	DOCK11	NIPAL3	SP140L	CHCHD4	ACSF3	E2F1	CPSF3	PHF2	CD4	ILF2
ZNF484	PSMB6	DPM2	THAP3	TMEM160	GDAP1	HSD17B14	GRAMD1A	GLT8D1	CHD3	RPF2	ZDHHC8	GOLGA1	EMSY
FRZB	DNAH11	ZNF700	ZNF133	MRPS36	CCDC181	ACAA2	SF3A1	ELOVL1	SRGAP2B	CPS1	HEXIM2	OLFML2B	PAX8
ZBED9	FAM98C	LDLRAP1	ZNF345	PIF1	BICDL1	DARS	FANCE	KYAT3	TG	EIF2D	TASP1	DHFR	PREPL
ARHGEF33	CRTAP	GMDS	ZNF74	EDF1	TMEM102	SNX4	UBE2G1	RPS20	CERS4	WIPI1	HEATR5A	B9D2	HSPB1
RHEBL1	MVB12A	RALY	GOLGA8A	DUSP16	NAA40	THRA	MRPL35	ARF5	PSMD5	SLC37A2	DMXL1	GK5	AFG3L2
CD38	CCDC40	GAPVD1	ACTR5	CHTOP	CAB39L	TOB2	KMT5A	HSPA12A	KDELR1	CLSPN	DBR1	SHROOM4	CHORDC1
TOX3	SLC29A1	CBX4	SLC25A43	CSRP1	TICAM1	PBK	MRPL2	DCDC1	ABRA	TTLL11	CTTNBP2	REXO1	XPO5
MRPL23	IAH1	MRPS18B	PHLPP2	PSMA5	IGHMBP2	ABCB4	NFE2L2	CCDC59	CYP26B1	FAM72A	ANGPTL4	ASB3	TSPAN17
FFAR3	BET1	C1orf56	CBWD3	FOXK2	VARS2	ZNRD1	LAMTOR5	OXR1	ESRRG	NUDCD1	SEMA3D	BCOR	PSMA2
MRPL41	SPATA2L	ZCRB1	HIVEP3	SEC11A	ZNF385A	CTDSPL2	PBX1	TPM4	C21orf91	COL11A2	GINS2	TMEM19	HDAC10
RNASET2	NLE1	PRKRIP1	ZNF407	NPAT	ARMCX5	ASF1A	S100A10	RGL2	ECI2	LRCH3	USPL1	SUN2	DUSP11
MPV17L	MYL6B	CAPRIN1	DKKL1	SARAF	TXNDC16	CCT6A	APLP2	SPCS3	TNFRSF10C	PPP6R3	SUSD3	PARM1	RRAS2
CFAP69	NDUFA6	ATAT1	AGTR1	MED11	ZNF212	ANKRD17	EIF1	BSDC1	CCL26	C8orf89	ASXL3	STK26	GGACT
MTUS2	ROGDI	ARHGEF28	TMEM102	PCCA	TOR4A	MTHFSD	NME4	RPS7	FAM189A2	APBA1	ZNF587	RDH13	MROH6
FREM2	SUMO2	SUSD6	CIPC	ZNF256	PLEKHM1	PERP	IPO8	CRCP	ZNF19	SNAP91	TMEM135	ANGPT2	COPS4
PTGES3L	PSMD13	RPL26	RNF180	MPHOSPH9	PARG	ANKRD13A	GDE1	RPS21	GRIN2A	NFS1	CORO2B	METTL6	POU2F2
FBXL13	GDPD3	KIAA0040	SLC25A16	TEAD2	HAUS3	SUMF2	CES2	TMEM87B	PRKG2	RRS1	LRIG2	SYT1	GLMP
C19orf57	MDK	RP9	GZF1	MAP1LC3A	RFC5	EXOC1	NDUFS6	ZNF706	EXOSC8	EGFL6	CCDC171	TP53INP2	SSB
MPP1	HSD17B4	PSMD7	STK35	LPIN2	BEST1	PRTG	RNF175	PIGF	ZSCAN12	IQCB1	ZNF708	PPIL2	NELFCD
SH3TC2	CRACR2B	CBLB	SLC25A44	METTL17	SYDE2	PLEKHH1	RNF6	IFT88	FAM3D	RUFY2	B3GALNT2	VCAM1	EIF4EBP2
PIGZ	CNPY3	SLC7A6	CARD6	PLA2G12A	GYG2	ZMYM4	NBPF26	ZNF451	SMPDL3B	RHBDF1	VPS54	ATP8B1	SUPT4H1
CYS1	TP53	SLC35A3	PPARD	HNRNPF	RGN	PIK3R1	CENPT	PPOX	MRPS23	FDX1	ZNF419	CCDC126	CCT6A
GPR135	RPL18	TECR	SLC25A53	GOSR1	KCNIP1	EIF2S2	KIF1B	HSP90AB1	MDP1	CHD1	CBX4	VASH2	SYNPO
CACNA1D	PSMD8	CCP110	SYNM	CNPY4	ULK2	CKLF	SOBP	SGSM3	GSS	RAB12	ZNF598	ATG4C	COQ9
SGMS2	FLOT1	SNX5	ZDHHC18	ZNF770	KDM1B	MAN1C1	DENND6B	SLC2A1	NDUFA3	PCDHB2	COL24A1	MICU3	ARMC1
ITPRIPL1	GPR146	TIMM8B	ABCB8	TFG	SLC25A44	FADD	BEX4	CLCN3	LIMS3	TCF19	FAM131A	LCLAT1	PKD1
PPP1R1B	TSN	DSN1	SOCS7	ATP6V1G1	POC1B	SAMD4A	TCF3	MED19	USP31	ZNF571	ZNF649	LEMD3	UFC1
RSPH14	ARHGDIA	VAMP4	LURAP1L	C1orf35	NT5M	CTNS	PUM1	SCN2A	APLF	BBS9	SRPK3	RNASEK	ITPR1
PBX2	STXBP1	DRAP1	MND1	GOLGB1	ANAPC1	ACP2	UCK2	RPL15	ATIC	HMMR	RNF103	PRIM2	MICU3
ACTL10	RPL14	ATG2B	SNX16	ELP2	TOP3A	ZNF576	NAA38	TOMM5	TYW3	NOB1	IRF2BP1	ZNF586	DPF2
CHDH	MOB4	DDAH2	TRAPPC9	DECR1	STXBP4	MYOZ3	MAU2	MAD2L2	ZNF324B	SLC16A10	ZNF181	CCPG1	GALNS
SERPINB1	AP2M1	PTRHD1	FBXO45	ATMIN	ZNF689	CFAP36	RPL35	FDPS	NDUFA2	PLA2G15	SPTLC1	RASA2	FBXO11
MAS1	PPIA	FAM89B	ZNF717	TBC1D12	HDAC9	CACYBP	HSPE1	SYCP2	GRB7	KCNJ12	RAB9B	RPS6KC1	ETAA1
PIWIL4	RAB1A	GART	TBC1D24	ENTPD4	TBC1D2B	DENND1A	CACTIN	CSTB	ZNF726	TMEM217	LUC7L3	COG3	PIR
MAGEE1	SNRPD1	COPS9	COX18	HDHD2	C16orf74	NEK3	MICU1	ASNS	RNF11	VASH1	ZDHHC14	ADAMTS5	NUP98
FAM181B	TACC2	MRPS18C	NCAPD3	C19orf53	EGFR	SEL1L3	PTP4A3	POLR1D	GABPB1	RIPK3	GPR137C	ADAM12	JPH1
TIGD4	ELF1	METTL16	PTK2B	SYT15	EID3	UMAD1	ARMT1	RBM25	YBX3	SOX3	GEMIN5	GABPB2	YAF2
ANKRD65	PGK1	ACOT9	PRDM11	LAMTOR5	PGBD2	DLST	CFLAR	SSH1	OLA1	SPAG8	STAT4	ZNFX1	TRIM69
DNAJC22	UGT8	STAG2	EID3	MMAB	TIGD1	ROCK1	TAPBP	OGFRL1	NAP1L4	BIN3	NXPE3	ASPG	TIGD1
CDYL2	PTMS	KDM1A	ARMCX5	ANXA3	ZBTB18	FBL	FADD	PKD2	SLC29A4	ANO8	GBP1	C1RL	MRPS18C
YBX1	SMIM12	DNAJC11	ZNF502	DOK1	KAZN	RCC1	DCHS1	SMIM7	SSH2	WNT5B	ZSCAN32	KIF3B	GAS1
MATR3	FAM124A	BAG6	ZNF675	ZNHIT3	HS6ST1	SLC35E4	EEF1D	SPON1	UBR4	SEMA4F	ZNF320	CEP295	PDK2
SAMD12	MAP3K13	NUDT15	PANK4	ALS2	STAMBPL1	PAK2	TMEM251	LTA4H	MRPL2	RNF185	PLD1	CSNK1G1	KAT8
PCDHGA2	EDNRA	CRYL1	ATP7B	SMOX	SNX25	IRF3	RPAIN	RGS2	YWHAE	EZH2	RMDN2	EIF5AL1	POLR2J
INCA1	CDC37	POP5	SLC25A28	APOO	RNF208	PRDX3	FAM20B	ABCD4	EPS8L1	SNRPB	POLR3F	TFB1M	GALK1
CFAP161	GCSH	RPRD2	SLC11A1	HDAC1	ANO4	RNF181	ELOVL5	CLUAP1	KIN	CAPRIN2	ENTPD5	PCSK5	PGD
PCDHGA7	MRPL18	GATA3	ZNF266	METRNL	TCAF1	COPS3	DNAJB12	CRTAP	BTG1	SLC19A2	UBE2V1	NFATC3	INTS12
GALNT3	MRPS36	PPP1CA	MT1M	COQ4	GPAA1	ARHGEF7	NAV1	RPSA	SNF8	C1QTNF9	NFXL1	ZNF528	TECR
ANKRD2	HIVEP3	CWC25	RIC1	ZNF497	CYP4V2	HELQ	SRGAP1	CDK12	SNX14	MPPED2	APLN	RANBP6	OSTC
SUV39H1	DBNL	ZFYVE19	AVPI1	PCBP1	DOCK10	ATG16L1	NHLRC3	RBM26	RPL26L1	SLC4A1AP	MTERF1	CDKN2AIP	GPATCH4
TRPC3	NIPA2	PIGK	EXO5	TUBA1A	ZNF250	GALNT7	POLR2H	APH1A	RPL27A	PLAG1	HYLS1	BMT2	SLC7A7
CYP2S1	POLE4	JAK2	FOXRED2	PRDX5	ADD2	MAPK1IP1L	ITLN2	PRKD2	CASS4	U2AF1L5	TGFB2	MYO15B	ZNF174
ESRRB	RPL38	OSBPL3	ALS2	NUDC	TOMM40L	PPP4R3B	SLC25A5	CTNNAL1	LTV1	CYP39A1	CCDC14	CDON	RIOK1
GPR20	COMMD6	MAP2	ZNF398	ACIN1	EPCAM	EXOC3	FURIN	RBM6	HIGD2A	NKD1	SESN2	SCN5A	SEPT7
ARHGAP8	LGALS3	LYRM7	BCL9L	ZC3H15	SLC9A9	DHDDS	TCP11L1	SLC35B3	MTHFD2	C11orf74	SLC27A1	TUBGCP3	LIPA
CRKL	LAMA4	CDIPT	CPNE5	SQSTM1	POC5	ATXN2L	SERPINI1	ZNF568	UGP2	YWHAE	KSR1	DOCK4	MCRS1
DKC1	C7orf50	TRAPPC2B	ZBED4	NUMA1	HGF	DYNLT3	DDRGK1	PTMS	AKAP17A	ST8SIA6	C14orf28	GPATCH1	PCGF6
FUT2	RPL39	PIK3IP1	PGBD2	METTL5	CLSTN3	ZNF614	DNAL1	SRSF5	VSIG10L	SPEN	FGF1	SLC6A8	SNX16
CTSS	RPL23A	CORO7	MMS22L	CASP3	LPAR5	RNF207	NDUFA8	ZNF575	NDUFB2	EXOC6	HAUS7	AGO1	PTOV1
ATG4D	ERH	PNMA1	ALG11	ATRAID	RFC3	AMFR	COMMD1	DNAJB11	PIF1	FOXM1	RAB6B	CASK	CD3EAP
PCNX3	AKR1B1	SPATA2	FAM160B2	POLK	FAM53B	ORC3	GSTM3	CNTLN	ERLIN1	IFI35	CSTF2	AGAP3	MSI2
CNR1	RAB8B	MICAL3	THOC3	MRFAP1	RECQL5	CYP4V2	CDC42	TXLNG	LPIN3	PPM1N	MED18	SLC5A6	GPR155
GAPDH	UQCRQ	PSMC5	STK33	TUFM	PDGFA	CDK2AP2	ZNF595	FNDC5	IL15RA	ARHGAP18	ITGA7	R3HCC1L	HSCB
COX6B2	GTF3A	UBE2A	SYNDIG1	SF3A1	C22orf46	NDUFA10	LDB2	KAT2A	KRT17	TGOLN2	ZSCAN29	SIK3	ARL16
REP15	MAN1B1	ACBD6	TOR4A	MAN2A2	HIST1H3H	LRRC58	DLD	AKIRIN2	ZNF862	DIRAS1	APOL2	DNAJB5	FANCL
CDKN1A	RCHY1	LRRFIP1	PORCN	TM7SF2	PARP9	HAX1	TAOK2	TRIP6	BCCIP	TMEM182	CENPF	FAM76A	LSR
CRTAC1	RPS3	PRRC2A	THEM6	ARFGAP1	LURAP1L	CLP1	GSTZ1	PCNP	GLRX2	PHTF2	LCA5	SETD7	VCPKMT
SNURF	RER1	ZNF510	TAF1C	RWDD1	PDE12	CEP350	CKS1B	DDX23	GLT8D1	SELE	PPP2R1B	CCDC152	ZNF138
UBAP1L	BLOC1S2	NOL8	ZER1	C1QTNF4	GEM	NUBP2	PEPD	CLN8	EIF3K	COL12A1	SH2D4A	ZCCHC14	ERH
BRICD5	RPLP2	YWHAE	EFCAB7	QRICH1	NABP1	ELMOD2	SGF29	KIN	HSBP1	HNRNPM	RPAP1	LRRC40	AMOTL2
MED12L	LIMS2	DTYMK	CCDC181	PRKAA2	TNFSF13B	POLR2K	ABCF2	XRRA1	MRPL14	LAMA3	FOXP2	BCAS3	PYURF
SPOCK3	PIN1	C19orf53	NAA40	SFSWAP	CTDP1	RMI2	WSB1	GMPPA	ABI3BP	CDCA7L	LEFTY2	POLD4	GCLM
COMTD1	KIAA0513	FDX1	PLEKHM1	TSPAN6	TTYH2	MED29	ATPAF2	MZT2B	SDF2	KIRREL2	RASA3	CXCL16	PARD6A
MRPL12	LDHA	SSB	EIF5A2	ZMYM3	ARL17B	C19orf24	LATS2	EPHB2	EDN3	PMPCB	FLRT3	TRIM37	COX17
ZNF23	RPSA	C14orf119	ARHGEF19	FAM136A	TTC7B	PPP2CA	PXDC1	TMEM98	TMEM115	UBXN8	SUSD6	RGS4	C9orf16
CHRNA7	NCAM1	ARHGEF7	HS6ST1	SAP18	SOCS3	PFDN2	PIK3R1	B9D2	ZC3H15	DLGAP1	PRKCA	ZNF747	ARHGAP12
SEC14L6	RPS10	MIEF1	ARNTL	TMEM120A	MALT1	LZIC	GRK2	NAA16	TSLP	SLN	ZNF697	DDR1	LRPAP1
ADGRG2	COPS6	UBXN8	TMSB4X	ACSL3	TMEM215	SNRNP200	HAS2	NXT1	CHRNA5	NTRK1	PTER	FBXL17	ACTL6A
C3orf67	TCEAL9	PTP4A2	C17orf100	DNAJB6	PKLR	AGO2	ALDH9A1	DMXL2	ASPM	DCDC1	LYST	PLEKHG1	DUS2
PIWIL2	SNRPD2	CRYZL1	C5orf38	PFKFB3	FEM1C	FRYL	JTB	RBM7	TMEM139	UBLCP1	COPG2	WWP2	RBBP4
CDH18	IFI6	VARS	TLR4	OGFOD1	NBPF10	CD320	CD79B	CDK5RAP2	MARCH6	TMED2	FUT10	SLC29A3	MAPKAP1
BRSK2	RPS26	DCN	TRMO	ABCC5	LIG1	CARNMT1	UBE2B	VPS53	CDKL3	CETN2	SMG5	TUBE1	CMTR1
PAQR6	DRG1	EMP3	ZNF200	OTUB1	RNF144A	PDZD8	COX20	N4BP2L2	DDX39B	ALDH3B1	PPTC7	STARD9	C12orf66
KIF11	OSTF1	FBXO4	PEX1	SPON1	PRR7	STOML2	IARS2	RIC8A	SARM1	PHLDA2	CADM4	PELI2	DDX27
TGM1	LRRC8C	C1QBP	ZNF550	PPM1M	PDE1A	CHMP3	IRF2BP2	DDAH2	ALDH2	ELOVL2	ABCB8	PARD3B	NDUFB11
PCDH20	COX7B	SIPA1L1	ZNF316	NUDT21	ATP7B	CTNNB1	RAB9B	PDLIM3	TDP2	PHYKPL	PDE9A	DDHD1	NXF1
DMC1	PLEKHA4	HSD17B12	GNA14	ZNF655	OLFM3	RAD17	FAM228B	KCNMB4	UQCRC2	EPHX4	TSPYL2	PLEKHA8	SERBP1
FAM151B	DAP3	CYBA	SCYL3	CREB1	NEK11	ODF2L	BOLA1	FAM3B	PSMA1	PITPNM2	ANKAR	DENND4B	POLR3H
PPIP5K1	LSM1	FBRS	LYSMD4	MRPL27	COL22A1	OST4	CCDC28A	DNTTIP1	ZSCAN22	C1QTNF4	KALRN	POLD3	ATAD1
PCDHGA8	GLA	C16orf72	LNP1	SLC25A12	GLIS3	RHOA	CEP68	RSL1D1	ERCC6L2	ESRP1	BUD13	ZNF680	ANAPC5
PLA1A	TMEM167A	DEPDC7	PDE1A	PRPF4B	KCNJ5	MRPS27	PLAUR	RAP1B	GAL3ST3	ALPK1	DUSP26	CXorf38	C18orf25
FOXO6	VRK3	MBD5	SCT	TKT	EEPD1	MRPL51	METTL15	SLC25A24	PAIP2	PLA2G12A	CSRNP2	COBLL1	GALT
CLEC2L	TRIP6	OARD1	ZNF789	MRPS31	GPR153	KRTCAP2	HMCN1	COX7A2L	TEX30	TRMT2A	TMTC2	NFATC4	POMT1
MATN3	CCDC28A	ARPC3	RFC5	USP9X	TFAP4	CSNK2A1	PIGN	APEX1	ZNF486	SPTLC3	CAMKMT	CYSLTR2	SH2D4A
S100A7	GAS1	TMX2	ZNF660	TP53BP2	SYNJ1	MSN	ZNHIT3	ELAC1	FAM169A	PDIA4	PEX6	GIGYF1	CSTF2T
MAPK6	CALD1	C22orf46	MALL	ADGRA3	PLEKHA6	RANBP6	MYO19	RPS27A	PGM3	MRPL12	CCR1	LDLR	CHURC1
NXNL2	NAGA	SLC16A7	NFIL3	PDE10A	SSH3	SAMM50	USP40	RSL24D1	ZNF468	AK2	PDGFC	DAB2IP	SARM1
WNT9A	AURKAIP1	DOCK4	AMN1	CCDC130	FBXO33	ZCCHC14	HDDC3	RAB11FIP1	JAKMIP2	SERHL2	NLN	TXLNB	TRAF3IP1
TEC	SLC43A2	TMX4	ASB6	PLAG1	HAUS6	PITPNB	GYG1	TRIM33	G3BP1	PCNX2	TK1	TMEM176B	USF2
CEP72	NEDD8	DEF8	AMBRA1	SCYL3	CYP2R1	PBX4	SEC14L1	CORO1C	VWCE	AAK1	CA2	CDK2	MFN2
TBC1D2	ADPGK	ASAP3	NUDT19	KIAA1958	HELZ2	ZNF76	IPO5	RPS14	NFATC1	CCSAP	PIK3C2B	COG1	RFX7
ZDHHC11	RPL24	DTD1	HIST1H3H	SET	C20orf96	ZNF792	C12orf4	LAMP1	EIF2S1	PAPSS1	CBX2	CD68	DNASE1
FAHD1	ADI1	UGDH	SPOCK1	MAP2K7	ZNF211	MAL2	KCTD2	WIPF1	N6AMT1	GLT8D1	RAPGEF6	NUP133	SETMAR
CADM2	FAM32A	SLC30A7	NIPAL2	LARP4	PLA2G4A	SYTL1	ZNF302	ELMSAN1	YY2	TKTL1	FZD8	NTF4	ORC4
NUDT3	RPL13A	MAP4K5	CEP120	DBI	TTLL4	HDDC2	TRPT1	EIF3F	SHMT2	PTK7	SH3TC1	STIM1	EXOSC4
PUM1	BFAR	UBE2H	CSRNP2	MALSU1	ZNF557	RSU1	TIMM13	OMA1	ZNHIT3	LMOD1	HEATR1	NOL12	ACAT2
FBXO6	PAPSS1	NAT10	B3GALT4	NDUFAF3	CPAMD8	MAP4K3	KDM4B	CCDC121	GKAP1	NUP85	URGCP	VANGL2	NT5E
SDR42E2	ATP8A1	MRPL47	KCNA5	TMEM183A	E2F5	CCT8	NOMO1	PLEKHO2	COX8A	XPNPEP2	ZNF350	TMEM255B	RAB11B
ACTR3C	COX6B1	RAB35	TTI1	GTPBP4	ERMP1	URGCP	FOCAD	EPOR	CSTF3	DUSP1	ZNF668	RELN	ICE2
MAP6D1	FKBP7	NUP93	ZBTB14	OXLD1	ARHGAP10	PPP6R1	ADPRHL2	IGFBP5	KXD1	CROCC	ARHGEF26	PPP2R3B	KCTD2
MRPS6	ABCA8	ZNF764	WDR19	ASAH1	SH3BP1	TRIM68	ZZEF1	CCDC85B	RBL1	DCLRE1A	PRELID2	TBX5	NDRG4
NAGS	STX11	YOD1	UNKL	FAM3A	PORCN	DGCR6L	MAGEF1	APLP1	CACNB1	TEX10	SAP30L	DNALI1	PUS7L
RAB3B	ANKRD45	RPS17	SDCBP2	GHITM	EPHB2	ADAM10	COX4I1	PLCD1	TBCA	ZFHX2	GABRB2	FGF9	LRRC2
RAD51	RHEB	SOX5	C19orf38	PSAT1	SMYD5	APOOL	H1FX	MAN1A2	RAD23A	GFM1	ATG2A	PICK1	GCNT2
NDST4	CMPK1	MYO1C	PHOSPHO2	CCDC127	MSX1	PTPMT1	CHD8	RANBP1	GOLGB1	TLCD1	SLC2A11	AP5S1	TMEM87B
LRRK2	YOD1	TMEM167A	ZNF385A	CTSF	ARHGEF19	TFPT	IRGQ	CABIN1	DSC2	TMEM151A	ADCK5	APCDD1L	ZC3H6
IL4I1	PFN2	ACADVL	IL18R1	ATG3	KLHL8	PPCS	WBP2	CPXM2	ATRX	WFDC1	TNFRSF4	UEVLD	PINLYP
FAXDC2	NDUFA11	LAMC1	CNTROB	CHRD	NGF	NXPH3	AP4M1	SNRPD1	TBC1D8	MRGBP	TMEM94	MEIS3	SRP54
PTGDR	SRP14	RPA3	TAF1A	SPSB3	PRR12	PGBD1	MKLN1	SKIL	MRPS17	THNSL2	CCHCR1	SOAT1	ACBD6
L2HGDH	CCDC92	WIPF2	ZNF185	KRT18	GSR	SNRNP27	CBLB	MPLKIP	C1orf109	KCNG1	AMN1	ZNF263	ZP3
SCRG1	NUDC	SYS1	PLEKHA6	TMEM200C	USP18	TCEA2	CCNI	MAT2B	ZNF850	TM2D2	SYT17	MYBBP1A	CAD
MSH6	CHCHD5	PRAM1	PPM1H	CDK8	DTNB	ERICH1	POLE3	CFD	TMED2	METTL16	D2HGDH	L3MBTL3	CCNL1
IQSEC3	CAMK4	DNM1	RGN	WDR45B	OPHN1	R3HDM4	ORMDL1	ZNF843	PDIA3	TRABD2B	IL10RA	METTL15	BCL7C
LCN1	RPL35	SLFN12	GRAMD1B	PRRT1	PLA2R1	HMCN1	SSC4D	SNRNP200	RACGAP1	UBA2	SLC25A20	B3GALT6	SRR
MPC2	RABEPK	STAT6	CLSTN3	MRPL47	VWA8	ORMDL2	SRP14	TTYH2	CASP7	P4HA3	NOP2	PCBD2	KXD1
IL20RA	TALDO1	PPP2CA	WNT5A	CDC7	HIST1H2AE	KIAA1522	SYNRG	EFHD2	UBQLN4	SLAIN2	ATP9B	BRF1	UQCRQ
SYNE3	CMTM3	MARK3	PDE12	GPRC5A	WDR4	RABGAP1	CDH6	SAMD4B	WDR31	TMEM190	ZNF592	FAM57A	HDAC6
TMEFF2	YWHAB	MYL5	FAAP100	KIF21A	CA12	FGD5	RNF34	PTK2	MFAP1	BATF3	CDC25B	RRNAD1	ZNF764
GPR1	MAPRE2	FRMD4B	TRAF3IP2	CD2BP2	ROR2	IL17B	LEMD3	ICOSLG	HIST1H4J	HSPA5	RIPK1	PLXNA1	RNASEH2C
SYT7	RHOG	DDX3X	TAP2	EIF4E	LARGE1	ZNF182	C11orf74	PLPP1	KLHL25	RPSA	PRPF40B	KMT2B	GPAA1
QRICH2	BUD31	RPL11	CAD	UBL4A	CIPC	SCFD2	RPA3	KXD1	PECAM1	APELA	PPRC1	FASN	PCMTD1
DRD1	ADSSL1	PPP3R1	ZNF555	C1orf43	SLC31A2	CLSTN1	ZNF232	POP5	SSU72	HMGN2	IGSF3	RIPK2	MED21
ACADL	EEF2	KIF1C	OPLAH	CAPZB	ALS2	SDHC	CYB5D2	ATOX1	ALDOA	DPT	TSTD2	TAF6L	RPRD1A
RP1	MTUS2	TSC22D4	ADD2	RPS19BP1	UBL3	BRD2	NRIP1	UBE2J2	SLC30A10	IGIP	EXOC2	B3GAT2	MFF
AMD1	RPS11	CEP120	DUS4L	CLASRP	C9orf40	HDX	HEATR6	RPAP2	ACE	SULT1A3	EPB41L5	ANKRD37	SMN1
NLRP12	DHODH	LIMK2	PKLR	RNF5	ENPEP	BBX	NUDT2	TBX2	EI24	ACTN4	BTN3A2	TBC1D13	AATF
CHST6	TRIM46	RILPL2	ANO5	PABPC1L	NCAPD3	GPATCH4	THSD7A	H1FX	PCSK2	RPL23A	RARRES1	SLC25A19	PSMB4
DKK2	ARHGAP28	POFUT2	ZNF736	TMEM116	RNF180	CD4	ABHD17A	ILF2	FTSJ1	DYM	TYSND1	CDK11A	BRD8
GSG1	SNX2	CCDC6	GPR143	ADAMTSL1	DZIP1L	PANK2	FBXL17	OSTC	PPP6C	UBE4A	NCKAP1L	KBTBD4	EIF1AX
ADCY5	TSPAN31	CDK5RAP1	DPY19L2	DHX15	IFT172	LARP4	HSD11B1L	CHDH	SMARCC2	POM121C	LRCH1	SRRD	DMAP1
ADCYAP1R1	RPL7	DDX1	EIF2AK3	FBXL12	APBA2	LY96	TATDN1	FBXL8	COPZ1	ATF6	THAP2	MADD	PHLDA3
HESX1	EIF3K	LIMD2	ANKRD13C	HNRNPD	ITGB8	ZNF619	MTCH2	CUTC	MCM8	KLHDC8A	CCDC183	CFP	C2orf42
GPLD1	NECAP2	DNPEP	CYP2R1	WDR61	FGD2	ARHGEF10L	ZFPL1	FAM160B1	CABLES2	LAMP5	CLK2	CILP	MIIP
XYLT1	SLC27A6	MRGPRF	ABHD17C	NONO	B3GALT4	VRK1	ZNF559	AKAP9	ATF7IP2	ZNF564	ZNF487	ZNF606	USP47
IRX6	FIS1	CNPPD1	ZNF211	NDUFA10	ANPEP	LAMTOR5	NDUFV1	FOS	SLC25A17	OSBPL3	ZNF408	ZNF140	SRSF3
KIF4A	PPP1R15A	TULP3	ADAM11	SLC39A3	TLCD2	PIGS	PRR14	RAD17	NUCKS1	LRP5L	SLC36A4	RASSF7	FBXO9
AMACR	RPS24	NDUFS4	PARG	SLIRP	CRYBB1	AJUBA	KCTD4	GTF2E1	ZNF485	HRH1	EGLN3	SFR1	YIF1A
SPIRE2	PTPN6	CDH11	SMYD5	UBR3	LYPD6	DDX3X	AKAP9	ABHD17A	ARSG	PNN	ACSL1	SLC1A3	SREK1
NKX3-1	RAB11A	TANK	CENPJ	RAD9A	PMM2	SNAP29	POLR2F	HELQ	PLAGL1	NSD1	POLR3A	PTPN6	TRAPPC6A
TMEM229A	RPS2	BRWD3	PTPDC1	PHF11	SAP130	BPTF	YBEY	SET	COX5B	SDC1	LIN7B	SLC35F6	ZNF354B
MUC12	RPL27A	FBLN2	HAUS8	ACTL6A	MAP2K6	ARPC1B	MIF	GPR137B	CTH	FAM98B	IPO13	MEGF6	TCF7L2
RAB36	ALKBH3	LXN	VGLL3	PEMT	BHLHE40	ZNF354A	C19orf66	ACAP2	CHTF8	KAT8	RWDD2A	SLC43A1	PAIP2
